run_id,wind_regime,qsat,q0ratio,qshift_ratio,lambda2_mean,lambda2_std,outflux_mode,dt,n_steps_run,n_dunes_final,mean_width_final,std_width_final,mean_asymmetry_final,calving_count,collision_count,merging_count,exchange_count,fragmentation_count,calving_rate,seed
run_024762ac,unimodal,30.0,0.1,0.15,1.8,0.0,Duran,0.740088888888889,2000,189,13.836825345043657,19.85931198406649,0.9014745181920641,1304,360,135,132,93,0.652,980330
run_d8c7fb46,unimodal,30.0,0.1,0.15,1.8,0.25,Hersen,0.740088888888889,2000,380,45.10987264346318,37.27915967787689,0.46196492605797296,349,2446,696,934,816,0.1745,980330
run_b0f2ce33,unimodal,30.0,0.1,0.15,1.8,0.25,Duran,0.740088888888889,2000,123,16.512663643570374,20.704015457500887,0.8109921346163789,1434,394,165,146,83,0.717,980330
run_c9605835,unimodal,30.0,0.1,0.15,1.8,0.5,Hersen,0.740088888888889,2000,451,37.69115992865959,34.747205244637485,0.519415092270895,7523,9187,5207,2542,1438,3.7615,980330
run_4c37de49,unimodal,30.0,0.1,0.15,1.8,0.5,Duran,0.740088888888889,2000,128,15.23157997704489,20.05883372492267,0.8648612141260661,2467,943,608,239,96,1.2335,980330
run_f9c2e656,unimodal,30.0,0.25,0.0,1.8,0.0,Hersen,0.06746666666666669,2000,61,23.00040263440421,7.420471206842007,0.03565157106722072,447,14,8,3,3,0.2235,980330
run_3a7fa906,unimodal,30.0,0.25,0.0,1.8,0.0,Duran,0.06746666666666669,2000,3,15.451536506465644,1.2955829139222843,0.0013053515825270895,6,6,6,0,0,0.003,980330
run_310e6224,unimodal,30.0,0.25,0.0,1.8,0.25,Hersen,0.06746666666666669,2000,67,23.76585600161094,10.577103189920503,0.07937160172879006,446,19,12,3,4,0.223,980330
run_8d5e7cde,unimodal,30.0,0.25,0.0,1.8,0.25,Duran,0.06746666666666669,2000,4,20.26210692154483,2.882324209645811,0.00041103873551563355,9,2,2,0,0,0.0045,980330
run_346f68ee,unimodal,30.0,0.25,0.0,1.8,0.5,Hersen,0.06746666666666669,2000,54,25.000836230459527,11.714983937700493,0.04663277382330406,660,115,112,3,0,0.33,980330
run_15a7c817,unimodal,30.0,0.25,0.0,1.8,0.5,Duran,0.06746666666666669,2000,4,11.6779003100921,2.3124722315050015,0.25081931275260017,91,37,37,0,0,0.0455,980330
run_761bee50,unimodal,30.0,0.25,0.1,1.8,0.0,Hersen,0.06746666666666669,2000,62,24.373588548331487,12.316208376692064,0.011694265965478446,205,23,15,8,0,0.1025,980330
